Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MUKAMAMIDI,8,TEMPORARY SUPPLY,2,2,2764,8.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,MULKALAPALLY,8,TEMPORARY SUPPLY,1,1,123,2.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,LINGALA,8,TEMPORARY SUPPLY,1,1,0,2.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHADEVPUR,BOMMAPOOR,8,TEMPORARY SUPPLY,1,1,0,2.0
ADILABAD,ADILABAD,ECHODA,BAZARHATHNOOR,BAZARHATHNOOR,8,TEMPORARY SUPPLY,1,1,631,3.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,LAXMIDEVIPALLY,L D PALLY-URBAN,8,TEMPORARY SUPPLY,8,7,10201,67.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,POSUGUDEM,8,TEMPORARY SUPPLY,1,0,0,40.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,MADTHAPALLI,8,TEMPORARY SUPPLY,1,1,290,2.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,PONAGANDLA,8,TEMPORARY SUPPLY,1,1,0,3.0
BHUPALAPALLY,MULUGU,MULUG,MALLAMPALLY,MALLAMPALLY,8,TEMPORARY SUPPLY,1,1,0,2.0
ASIFABAD,ASIFABAD,ASIFABAD,REBBENA,NERUPALLY,8,TEMPORARY SUPPLY,1,0,0,50.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,CHARLA,KESAVAPURAM,8,TEMPORARY SUPPLY,1,1,0,2.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,KARAKAGUDEM,PADMAPURAM,8,TEMPORARY SUPPLY,1,0,0,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,SATYAMPET,8,TEMPORARY SUPPLY,1,0,0,40.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,RANGAIAHPALLI-REGOND,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,REGONDA,8,TEMPORARY SUPPLY,2,1,112,22.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,MAHAMUTHARAM,BORLAGUDEM,8,TEMPORARY SUPPLY,1,0,0,3.0
BHUPALAPALLY,MULUGU,MULUG,MALLAMPALLY,SHIVATHANDA,8,TEMPORARY SUPPLY,1,0,0,5.0
BHUPALAPALLY,MULUGU,MULUG,MULUGU,BANDARUPALLY,8,TEMPORARY SUPPLY,1,1,0,2.0
ADILABAD,ADILABAD,JAINATH,BELA,SIRSINNA,8,TEMPORARY SUPPLY,1,1,31,1.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,BEJJURU,KUCHENPALLY,8,TEMPORARY SUPPLY,1,0,0,3.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,CHARLA,PEDDIPALLI,8,TEMPORARY SUPPLY,1,1,798,53.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,MANUGURU,BANDARUGUDEM,8,TEMPORARY SUPPLY,1,1,1137,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,ASWARAOPETA,8,TEMPORARY SUPPLY,8,8,665,14.56
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,PALVONCHA RURAL,BASAVATHARAKA COLONY,8,TEMPORARY SUPPLY,1,1,1068,40.0
BHUPALAPALLY,MULUGU,MULUG,MULUGU,GATTAMPALLI,8,TEMPORARY SUPPLY,1,1,1495,10.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,BENDORA,8,TEMPORARY SUPPLY,1,0,0,55.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,CHARLA,SATYANARAYANA PURAM,8,TEMPORARY SUPPLY,1,1,1899,2.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,CHARLA,SUBBAM PETA <G>,8,TEMPORARY SUPPLY,1,1,0,15.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,MANUGURU,KAMALAPURAM,8,TEMPORARY SUPPLY,1,1,0,2.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,MANUGURU,MALLARAM,8,TEMPORARY SUPPLY,2,2,1278,3.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,MANUGURU,MANUGURU,8,TEMPORARY SUPPLY,1,0,0,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,ASWARAOPET,PERAIGUDEM,8,TEMPORARY SUPPLY,1,1,1,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,ASWARAOPETA,DAMMAPETA,ANKAMPALEM,8,TEMPORARY SUPPLY,1,1,4762,18.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,VEMPALLY,8,TEMPORARY SUPPLY,1,0,0,3.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,BHADRACHALAM,BCM-TOWN,BHADRACHALAM,8,TEMPORARY SUPPLY,54,41,16765,610.4
BHADRADRI KOTHAGUDEM,BHADRACHALAM,BHADRACHALAM,BURGUMPADU,BURGUMPADU,8,TEMPORARY SUPPLY,1,0,0,1.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - SOUTH,A P H BASTI-BS,8,TEMPORARY SUPPLY,2,1,573,5.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - SOUTH,GARIMALLA PADU-KR,8,TEMPORARY SUPPLY,6,6,1426,14.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - SOUTH,KTDM BAZAR SOUTH-BS,8,TEMPORARY SUPPLY,8,8,1784,24.97
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM - SOUTH,RAMAVARAM,8,TEMPORARY SUPPLY,9,9,702,20.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,BOMMANAPALLY,KOTHA TANDA-TP,8,TEMPORARY SUPPLY,1,0,0,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,GUNDALA,SEETHA NAGARAM-GU,8,TEMPORARY SUPPLY,1,0,0,5.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,KATARAM,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,MULUGU,MULUG,THADVAI,THADVAI,8,TEMPORARY SUPPLY,1,1,175,2.0
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,N.V.PURAM,ALUBAKA,8,TEMPORARY SUPPLY,1,1,0,5.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,GINNERA,8,TEMPORARY SUPPLY,1,1,0,2.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,JODHEGHAT,8,TEMPORARY SUPPLY,1,1,55,3.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR RURAL,KOSINI,8,TEMPORARY SUPPLY,1,0,0,3.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR RURAL,MET PALLY,8,TEMPORARY SUPPLY,1,1,501,4.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,ASWAPURAM,ASWAPURAM,8,TEMPORARY SUPPLY,2,1,45,3.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,ASWAPURAM,B.G.KOTHURU,8,TEMPORARY SUPPLY,1,0,0,50.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,ANNAPUREDDYPALLY,ANNAPAREDDY PALLI,8,TEMPORARY SUPPLY,1,1,84,1.05
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,ANNAPUREDDYPALLY,GUMPENA,8,TEMPORARY SUPPLY,1,1,1324,10.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YELLANDU TOWN,SUDIMALLA-YR,8,TEMPORARY SUPPLY,4,3,70,4.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YELLANDU TOWN,YELLANDU,8,TEMPORARY SUPPLY,5,2,0,14.55
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,GHANPUR (MULUG),GHANPUR,8,TEMPORARY SUPPLY,3,0,0,9.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,GHANPUR (MULUG),KUNDURPALLY,8,TEMPORARY SUPPLY,2,2,159,2.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,ODIPILAVANCHA,8,TEMPORARY SUPPLY,1,1,350,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,ANNAPUREDDYPALLY,P R GUDEM,8,TEMPORARY SUPPLY,1,0,0,4.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,ANNAPUREDDYPALLY,PENTALAM,8,TEMPORARY SUPPLY,1,0,0,2.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,ANNAPUREDDYPALLY,TELAZERLA,8,TEMPORARY SUPPLY,2,2,1097,40.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,GHANPUR (MULUG),MADHAVARAOPALLY,8,TEMPORARY SUPPLY,3,3,6407,47.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,GHANPUR (MULUG),MYLARAM,8,TEMPORARY SUPPLY,2,1,1096,4.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,SUNDERAJPET,8,TEMPORARY SUPPLY,1,1,0,2.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,VILASAGAR,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,MULUGU,MULUG,LAXMIDEVPET,JAVAHARNAGAR,8,TEMPORARY SUPPLY,1,0,0,1.0
BHUPALAPALLY,MULUGU,MULUG,LAXMIDEVPET,NALLAGUNTA,8,TEMPORARY SUPPLY,1,0,0,2.0
BHUPALAPALLY,MULUGU,MULUG,LAXMIDEVPET,NARASAPUR,8,TEMPORARY SUPPLY,2,1,24,3.0
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,N.V.PURAM,NUGUR,8,TEMPORARY SUPPLY,1,1,233,2.0
BHUPALAPALLY,MULUGU,N. VENKATAPURAM,N.V.PURAM,PATRA PURAM <PALEM>,8,TEMPORARY SUPPLY,1,1,73,2.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR RURAL,VANJARI,8,TEMPORARY SUPPLY,2,2,4576,57.204
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR RURAL,VILLAGE NO.4,8,TEMPORARY SUPPLY,1,1,0,2.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,BHADRACHALAM,SARAPAKA,NAGINENIPROLU,8,TEMPORARY SUPPLY,1,1,0,1.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,BHADRACHALAM,SARAPAKA,SARAPAKA,8,TEMPORARY SUPPLY,7,6,1917,13.11
BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,ASWAPURAM,SEETHARAMPURAM (A),8,TEMPORARY SUPPLY,2,1,10985,57.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,KOTHAGUDEM RURAL,CHANDRUGONDA,CHANDRUGONDA,8,TEMPORARY SUPPLY,1,1,6,1.0
BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YLD RURAL,K MANIKYARAM-YR,8,TEMPORARY SUPPLY,1,0,0,2.0
BHADRADRI KOTHAGUDEM,PALONCHA,PALVANCHA,MULKALAPALLY,KAMALAPURAM,8,TEMPORARY SUPPLY,3,2,0,91.0
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,REGONDA,CHENNAPUR,8,TEMPORARY SUPPLY,1,1,0,2.0
BHUPALAPALLY,MULUGU,MULUG,LAXMIDEVPET,PALAMPET,8,TEMPORARY SUPPLY,1,1,1450,3.0
BHUPALAPALLY,MULUGU,MULUG,LAXMIDEVPET,PATWARIPALLY,8,TEMPORARY SUPPLY,1,1,19,1.0
ADILABAD,ADILABAD,ADILABAD TOWN,ADILABAD - SOUTH,ADILABAD - SOUTH,8,TEMPORARY SUPPLY,7,3,3097,63.96
ADILABAD,ADILABAD,ADILABAD TOWN,ADILABAD TOWN-III,ADILABAD-TOWN-III,8,TEMPORARY SUPPLY,2,1,844,6.54
ADILABAD,ADILABAD,ADILABAD TOWN,MAVALA,BHATTISAVARGOAN,8,TEMPORARY SUPPLY,1,1,0,2.0
ADILABAD,ADILABAD,ADILABAD TOWN,MAVALA,MAVALA,8,TEMPORARY SUPPLY,2,1,0,24.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR TOWN,GANDHI NAGAR,8,TEMPORARY SUPPLY,2,2,3,2.972
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR TOWN,GANGARAM BUSTHI,8,TEMPORARY SUPPLY,1,1,36,0.56
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR TOWN,IRFAN NAGAR,8,TEMPORARY SUPPLY,1,0,0,2.84
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR TOWN,KAPUWADA,8,TEMPORARY SUPPLY,1,1,0,1.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR TOWN,NAVEGAOM BUSTHI,8,TEMPORARY SUPPLY,1,1,471,2.55
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,KAGAZNAGAR TOWN,SIRPOOR KAGAZNAGAR,8,TEMPORARY SUPPLY,1,1,545,1.0
